application_no,trademark_name,applicant_name,sido,sigungu,application_date,year,nice_class,nice_class_label,status
40-2026-0100538,하늘전자,가온스튜디오,제주특별자치도,제주시,2023-02-24,2023,21,생활용품,등록
40-2026-0100539,green코스메틱,green브루,서울특별시,강남구,2025-06-26,2025,42,IT서비스,출원중
40-2026-0100540,true,다온플랫폼,서울특별시,마포구,2024-07-26,2024,42,IT서비스,출원중
40-2026-0100541,solar,다온플랫폼,서울특별시,서초구,2021-10-25,2021,44,의료/미용,등록
40-2026-0100542,미르,다온베이커리,경기도,성남시 분당구,2023-01-12,2023,9,전자/소프트웨어,소멸
40-2026-0100543,한빛키친,푸른코리아,경기도,고양시 일산동구,2023-11-25,2023,3,화장품,등록
40-2026-0100544,하늘,가온상사,서울특별시,서초구,2022-10-03,2022,25,의류,등록
40-2026-0100545,smart플랫폼,green랩스,경기도,화성시,2025-04-23,2025,44,의료/미용,출원중
40-2026-0100546,prime테크,prime컴퍼니,경기도,화성시,2023-08-13,2023,21,생활용품,등록
40-2026-0100547,다솜,true코스메틱,서울특별시,강남구,2024-02-28,2024,21,생활용품,등록
40-2026-0100548,하늘,별빛스튜디오,서울특별시,서초구,2022-02-07,2022,43,요식업,등록
40-2026-0100549,이든,urban컴퍼니,서울특별시,서초구,2025-04-01,2025,41,교육/문화,출원중
40-2026-0100550,nova,별빛전자,충청북도,청주시 흥덕구,2021-12-19,2021,30,식품,등록
40-2026-0100551,한빛플랫폼,다온테크,경기도,성남시 분당구,2025-05-15,2025,9,전자/소프트웨어,출원중
40-2026-0100552,prime,solar디자인,대구광역시,달서구,2025-09-19,2025,41,교육/문화,등록
40-2026-0100553,green,다온전자,경기도,성남시 분당구,2025-04-14,2025,30,식품,출원중
40-2026-0100554,prime전자,하늘코스메틱,경상남도,창원시 성산구,2025-11-20,2025,30,식품,출원중
40-2026-0100555,solar,한빛플랫폼,서울특별시,성동구,2023-05-11,2023,42,IT서비스,등록
40-2026-0100556,온새미,온새미메디컬,경기도,성남시 분당구,2023-08-06,2023,3,화장품,등록
40-2026-0100557,다솜플랫폼,가온코스메틱,강원특별자치도,원주시,2022-12-09,2022,44,의료/미용,등록
40-2026-0100558,미르상사,온새미물산,서울특별시,강남구,2025-07-08,2025,3,화장품,등록
40-2026-0100559,새록,새록스튜디오,경기도,성남시 분당구,2024-05-27,2024,42,IT서비스,등록
40-2026-0100560,solar코스메틱,한빛코리아,서울특별시,영등포구,2021-12-28,2021,41,교육/문화,거절
40-2026-0100561,nova물산,한빛디자인,대전광역시,유성구,2025-05-10,2025,35,광고업/판매업,등록
40-2026-0100562,solar,prime컴퍼니,서울특별시,영등포구,2024-05-22,2024,21,생활용품,등록
40-2026-0100563,한빛랩스,다온메디컬,부산광역시,부산진구,2025-05-15,2025,35,광고업/판매업,등록
40-2026-0100564,solar,새록테크,인천광역시,남동구,2024-10-28,2024,21,생활용품,출원중
40-2026-0100565,온새미,third물산,전라남도,여수시,2023-03-27,2023,21,생활용품,등록
40-2026-0100566,미르,한빛전자,서울특별시,서초구,2023-11-06,2023,42,IT서비스,거절
40-2026-0100567,green전자,별빛물산,광주광역시,서구,2025-10-24,2025,42,IT서비스,등록
40-2026-0100568,한빛,미르플랫폼,서울특별시,종로구,2023-12-04,2023,44,의료/미용,등록
40-2026-0100569,미르상사,true상사,경상남도,창원시 성산구,2022-04-04,2022,25,의류,등록
40-2026-0100570,온새미브루,nova물산,서울특별시,송파구,2023-07-27,2023,9,전자/소프트웨어,등록
40-2026-0100571,누리,가온코스메틱,울산광역시,남구,2021-01-13,2021,42,IT서비스,등록
40-2026-0100572,smart키친,third키친,서울특별시,서초구,2025-09-22,2025,3,화장품,등록
40-2026-0100573,누리베이커리,nova스튜디오,대전광역시,유성구,2021-10-15,2021,35,광고업/판매업,등록
40-2026-0100574,한빛테크,미르테크,대전광역시,유성구,2021-02-03,2021,42,IT서비스,소멸
40-2026-0100575,urban,third전자,서울특별시,성동구,2024-05-23,2024,21,생활용품,등록
40-2026-0100576,별빛,새록F&B,인천광역시,남동구,2024-08-08,2024,43,요식업,출원중
40-2026-0100577,푸른키친,다솜물산,경기도,수원시 영통구,2021-07-22,2021,25,의류,등록
40-2026-0100578,다솜메디컬,smart전자,서울특별시,송파구,2023-12-13,2023,44,의료/미용,등록
40-2026-0100579,한빛,다온랩스,경기도,용인시 기흥구,2025-06-06,2025,25,의류,등록
40-2026-0100580,미르전자,가온물산,경기도,고양시 일산동구,2023-09-26,2023,21,생활용품,소멸
40-2026-0100581,true메디컬,미르메디컬,울산광역시,남구,2023-09-26,2023,41,교육/문화,출원중
40-2026-0100582,가온디자인,미르컴퍼니,서울특별시,마포구,2022-11-07,2022,44,의료/미용,출원중
40-2026-0100583,smart플랫폼,다온코리아,서울특별시,송파구,2025-06-24,2025,3,화장품,등록
40-2026-0100584,prime,온새미코스메틱,서울특별시,강남구,2024-11-13,2024,43,요식업,출원중
40-2026-0100585,solar상사,새록코스메틱,경기도,수원시 영통구,2025-09-10,2025,25,의류,거절
40-2026-0100586,solar키친,가온디자인,전북특별자치도,전주시 덕진구,2024-09-04,2024,35,광고업/판매업,등록
40-2026-0100587,누리전자,별빛플랫폼,서울특별시,영등포구,2024-07-26,2024,25,의류,소멸
40-2026-0100588,온새미코리아,가온코스메틱,서울특별시,종로구,2024-10-16,2024,9,전자/소프트웨어,출원중
40-2026-0100589,이든,미르디자인,전라남도,여수시,2025-10-13,2025,41,교육/문화,거절
40-2026-0100590,별빛테크,누리베이커리,세종특별자치시,세종시,2022-07-11,2022,30,식품,출원중
40-2026-0100591,한빛,가온메디컬,경기도,용인시 기흥구,2024-03-02,2024,21,생활용품,출원중
40-2026-0100592,누리전자,smartF&B,경기도,부천시,2024-07-18,2024,3,화장품,출원중
40-2026-0100593,true,다솜메디컬,인천광역시,남동구,2022-05-16,2022,43,요식업,등록
40-2026-0100594,third,urban물산,대전광역시,유성구,2025-08-06,2025,30,식품,등록
40-2026-0100595,smart스튜디오,green랩스,서울특별시,서초구,2023-05-20,2023,21,생활용품,등록
40-2026-0100596,새록,third전자,서울특별시,강남구,2023-01-03,2023,3,화장품,소멸
40-2026-0100597,미르,다솜메디컬,부산광역시,해운대구,2024-06-27,2024,44,의료/미용,등록
40-2026-0100598,solar코리아,urban상사,서울특별시,서초구,2024-07-09,2024,21,생활용품,등록
40-2026-0100599,한빛,별빛브루,서울특별시,강남구,2021-01-11,2021,35,광고업/판매업,등록
